TERRITORIAL_CODE,TERRITORIAL_NAME,VARIABLE,YEAR,VALUE
BE100,Arr. de Bruxelles-Capitale,TAUX_EMPLOI,2018,55.2
BE211,Arr. d'Antwerpen,TAUX_EMPLOI,2018,69.8
BE212,Arr. van Mechelen,TAUX_EMPLOI,2018,71.3
BE213,Arr. van Turnhout,TAUX_EMPLOI,2018,72.1
BE221,Arr. van Gent,TAUX_EMPLOI,2018,67.4
BE222,Arr. d'Aalst,TAUX_EMPLOI,2018,70.5
BE223,Arr. van Sint-Niklaas,TAUX_EMPLOI,2018,71.0
BE231,Arr. van Brugge,TAUX_EMPLOI,2018,72.6
BE232,Arr. van Diksmuide,TAUX_EMPLOI,2018,73.4
BE233,Arr. van Ieper,TAUX_EMPLOI,2018,72.8
BE234,Arr. van Kortrijk,TAUX_EMPLOI,2018,71.9
BE235,Arr. van Oostende,TAUX_EMPLOI,2018,67.2
BE236,Arr. van Roeselare,TAUX_EMPLOI,2018,73.5
BE237,Arr. van Tielt,TAUX_EMPLOI,2018,74.1
BE238,Arr. van Veurne,TAUX_EMPLOI,2018,73.8
BE241,Arr. van Halle-Vilvoorde,TAUX_EMPLOI,2018,73.2
BE242,Arr. van Leuven,TAUX_EMPLOI,2018,74.5
BE251,Arr. van Hasselt,TAUX_EMPLOI,2018,70.8
BE252,Arr. van Maaseik,TAUX_EMPLOI,2018,71.4
BE253,Arr. van Tongeren,TAUX_EMPLOI,2018,71.9
BE310,Prov. du Brabant wallon,TAUX_EMPLOI,2018,72.3
BE321,Arr. de Ath,TAUX_EMPLOI,2018,59.8
BE322,Arr. de Charleroi,TAUX_EMPLOI,2018,56.4
BE323,Arr. de Mons,TAUX_EMPLOI,2018,57.1
BE324,Arr. de Mouscron,TAUX_EMPLOI,2018,61.3
BE325,Arr. de Soignies,TAUX_EMPLOI,2018,60.2
BE326,Arr. de Thuin,TAUX_EMPLOI,2018,59.5
BE327,Arr. de Tournai,TAUX_EMPLOI,2018,60.8
BE331,Arr. de Huy,TAUX_EMPLOI,2018,60.4
BE332,Arr. de Liège,TAUX_EMPLOI,2018,57.8
BE333,Arr. de Verviers,TAUX_EMPLOI,2018,60.1
BE334,Arr. de Waremme,TAUX_EMPLOI,2018,64.3
BE341,Arr. de Dinant,TAUX_EMPLOI,2018,62.1
BE342,Arr. de Namur,TAUX_EMPLOI,2018,63.4
BE343,Arr. de Philippeville,TAUX_EMPLOI,2018,60.7
BE351,Arr. d'Arlon,TAUX_EMPLOI,2018,65.2
BE352,Arr. de Bastogne,TAUX_EMPLOI,2018,66.8
BE353,Arr. de Marche-en-Famenne,TAUX_EMPLOI,2018,63.5
BE354,Arr. de Neufchâteau,TAUX_EMPLOI,2018,62.9
BE355,Arr. de Virton,TAUX_EMPLOI,2018,64.1
BE100,Arr. de Bruxelles-Capitale,TAUX_EMPLOI,2019,56.1
BE211,Arr. d'Antwerpen,TAUX_EMPLOI,2019,70.5
BE212,Arr. van Mechelen,TAUX_EMPLOI,2019,72.0
BE213,Arr. van Turnhout,TAUX_EMPLOI,2019,72.8
BE221,Arr. van Gent,TAUX_EMPLOI,2019,68.2
BE222,Arr. d'Aalst,TAUX_EMPLOI,2019,71.2
BE223,Arr. van Sint-Niklaas,TAUX_EMPLOI,2019,71.7
BE231,Arr. van Brugge,TAUX_EMPLOI,2019,73.3
BE232,Arr. van Diksmuide,TAUX_EMPLOI,2019,74.1
BE233,Arr. van Ieper,TAUX_EMPLOI,2019,73.5
BE234,Arr. van Kortrijk,TAUX_EMPLOI,2019,72.6
BE235,Arr. van Oostende,TAUX_EMPLOI,2019,67.9
BE236,Arr. van Roeselare,TAUX_EMPLOI,2019,74.2
BE237,Arr. van Tielt,TAUX_EMPLOI,2019,74.8
BE238,Arr. van Veurne,TAUX_EMPLOI,2019,74.5
BE241,Arr. van Halle-Vilvoorde,TAUX_EMPLOI,2019,73.9
BE242,Arr. van Leuven,TAUX_EMPLOI,2019,75.2
BE251,Arr. van Hasselt,TAUX_EMPLOI,2019,71.5
BE252,Arr. van Maaseik,TAUX_EMPLOI,2019,72.1
BE253,Arr. van Tongeren,TAUX_EMPLOI,2019,72.6
BE310,Prov. du Brabant wallon,TAUX_EMPLOI,2019,73.0
BE321,Arr. de Ath,TAUX_EMPLOI,2019,60.5
BE322,Arr. de Charleroi,TAUX_EMPLOI,2019,57.1
BE323,Arr. de Mons,TAUX_EMPLOI,2019,57.8
BE324,Arr. de Mouscron,TAUX_EMPLOI,2019,62.0
BE325,Arr. de Soignies,TAUX_EMPLOI,2019,60.9
BE326,Arr. de Thuin,TAUX_EMPLOI,2019,60.2
BE327,Arr. de Tournai,TAUX_EMPLOI,2019,61.5
BE331,Arr. de Huy,TAUX_EMPLOI,2019,61.1
BE332,Arr. de Liège,TAUX_EMPLOI,2019,58.5
BE333,Arr. de Verviers,TAUX_EMPLOI,2019,60.8
BE334,Arr. de Waremme,TAUX_EMPLOI,2019,65.0
BE341,Arr. de Dinant,TAUX_EMPLOI,2019,62.8
BE342,Arr. de Namur,TAUX_EMPLOI,2019,64.1
BE343,Arr. de Philippeville,TAUX_EMPLOI,2019,61.4
BE351,Arr. d'Arlon,TAUX_EMPLOI,2019,65.9
BE352,Arr. de Bastogne,TAUX_EMPLOI,2019,67.5
BE353,Arr. de Marche-en-Famenne,TAUX_EMPLOI,2019,64.2
BE354,Arr. de Neufchâteau,TAUX_EMPLOI,2019,63.6
BE355,Arr. de Virton,TAUX_EMPLOI,2019,64.8
