nuts3,nom,superficie_km2,population,densite,taux_chomage,revenu_median,taux_emploi
BE100,Arr. de Bruxelles-Capitale,162,1208542,7460,16.2,18420,55.3
BE211,Arr. d'Anvers,1006,984072,978,5.1,22100,67.2
BE212,Arr. de Malines,1099,376204,342,4.3,21800,68.5
BE213,Arr. de Turnhout,1494,478213,320,4.8,21200,67.9
BE221,Arr. de Hasselt,966,393108,407,4.6,21500,67.1
BE222,Arr. de Maaseik,1205,194023,161,5,20900,66.4
BE223,Arr. de Tongres,879,222046,252,4.9,20700,66
BE231,Arr. d'Alost,689,321447,466,4.2,21600,68.8
BE232,Arr. de Gand,1051,596549,568,5.8,21000,66.3
BE233,Arr. d'Eeklo,578,109851,190,4.5,20800,67.2
BE234,Arr. de Saint-Nicolas,683,261427,383,5.2,21100,67
BE235,Arr. de Termonde,773,221462,286,4.4,21400,68.1
BE236,Arr. d'Audenarde,764,139762,183,4.1,21300,68.5
BE241,Arr. de Hal-Vilvorde,1186,607489,512,4.7,22400,69.1
BE242,Arr. de Louvain,1150,503060,437,4,22800,70.2
BE251,Arr. de Bruges,647,278457,430,4.3,21700,67.8
BE252,Arr. de Dixmude,708,52430,74,3.9,20600,67.5
BE253,Arr. d'Ypres,832,116066,139,4.1,20800,67.3
BE254,Arr. de Courtrai,826,384254,465,5,21200,67
BE255,Arr. d'Ostende,413,187521,454,6.2,20400,64.5
BE256,Arr. de Roulers,771,186742,242,4.2,21500,68.2
BE257,Arr. de Tielt,609,108756,179,3.8,21000,68.7
BE258,Arr. de Furnes,698,67754,97,4.5,20500,66.9
BE310,Arr. du Brabant wallon,1091,413347,379,6.1,24200,68.4
BE321,Arr. d'Ath,698,87247,125,10.2,17800,58.3
BE322,Arr. de Charleroi,1461,430895,295,14.8,16900,54.2
BE323,Arr. de Mons,1183,277507,235,15.1,16700,53.8
BE324,Arr. de Mouscron,145,79862,551,12.3,17200,56.1
BE325,Arr. de Soignies,954,192680,202,10.8,17600,57.4
BE326,Arr. de Thuin,953,155072,163,11.5,17100,56.8
BE327,Arr. de Tournai,1061,166620,157,11.9,17400,57
BE331,Arr. de Huy,695,110543,159,11.2,17900,57.2
BE332,Arr. de Li̬ge,1246,614157,493,14.2,17300,54.9
BE333,Arr. de Verviers (communes fr.),1316,238592,181,12.8,17600,56.3
BE334,Arr. de Waremme,709,81773,115,8.4,19200,61.2
BE335,Arr. de Verviers (comm. germ.),854,77949,91,6.2,19800,63.1
BE341,Arr. d'Arlon,1228,68824,56,7.1,20100,63.8
BE342,Arr. de Bastogne,1113,47027,42,6.8,19400,63.5
BE343,Arr. de Marche-en-Famenne,1300,60938,47,7.5,18900,62.1
BE344,Arr. de Neufch̢teau,1714,59271,35,7.2,18700,62.5
BE345,Arr. de Virton,767,52523,68,7,19000,63.2
BE351,Arr. de Dinant,1164,108063,93,8.9,18500,61
BE352,Arr. de Namur,2337,340363,146,10.1,18900,61.5
BE353,Arr. de Philippeville,1109,60023,54,9.3,18200,60.8
